,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
2030-10-08 12:00:00,19956.97227821991,0.0,14020.739273333334,14808.403448442728,2202.72,30000.0,71.5403520000006,12000.0,0.0,7295.451336035378
2030-10-08 18:00:00,20990.5502893693,0.0,11053.57312666667,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,9903.61760619887
2030-10-09 00:00:00,20970.94260760429,0.0,7199.640386666668,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,16818.893025112367
2030-10-09 06:00:00,9638.274541405854,0.0,2957.9935733333327,5528.279706014626,2202.72,30000.0,71.5403520000006,12000.0,0.0,55774.4415916076
2030-10-09 12:00:00,13761.392517506272,0.0,4883.415816666667,8373.89781511885,2202.72,30000.0,71.5403520000006,12000.0,0.0,30596.449449310767
2030-10-09 18:00:00,13022.405063433465,0.0,6854.67788,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,22036.644045004854
2030-10-10 00:00:00,20608.72002817345,0.0,8840.044503333334,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,15732.225286819841
2030-10-10 06:00:00,11112.397854243298,0.0,20707.741130000002,8773.141269993715,2202.72,30000.0,71.5403520000006,12000.0,0.0,32457.576619948908
2030-10-10 12:00:00,6082.530633522123,0.0,38502.14160333334,7376.238506549867,2202.72,30000.0,71.5403520000006,12000.0,0.0,5717.836309666407
2030-10-10 18:00:00,5475.033351313216,0.0,36017.29609666667,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,1994.9223628598047
2030-10-11 00:00:00,14957.643635883536,0.0,21213.235193333338,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,9482.61028457032
2030-10-11 06:00:00,16751.673036731638,0.0,28823.659366666663,7761.043535160501,2202.72,30000.0,71.5403520000006,12000.0,0.0,20918.281957551477
2030-10-11 12:00:00,12254.955800259246,0.0,19965.580846666664,14891.289600876607,2202.72,30000.0,71.5403520000006,12000.0,0.0,9289.915667161888
2030-10-11 18:00:00,17964.756921590902,0.0,5002.981923333335,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,17599.45582525571
2030-10-12 00:00:00,9467.397164055972,0.0,1763.65769,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,30921.207086029965
2030-10-12 06:00:00,13761.392517506272,0.0,11538.163863333331,9968.555095964577,2202.72,30000.0,71.5403520000006,12000.0,0.0,30511.136521727218
2030-10-12 12:00:00,10283.02102408463,0.0,16793.956196666666,14962.553119720193,2202.72,30000.0,71.5403520000006,12000.0,0.0,7344.22908121677
2030-10-12 18:00:00,14366.663520617436,0.0,14198.855436666669,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,8891.630169304219
2030-10-13 00:00:00,10875.735216829069,0.0,8413.070433333334,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,19678.70751755893
2030-10-13 06:00:00,7556.653946359536,0.0,6601.6024333333335,18147.11478313932,2202.72,30000.0,71.5403520000006,12000.0,0.0,28433.1449153015
2030-10-13 12:00:00,7556.653946359536,0.0,4780.431786666666,20698.742169907597,2202.72,30000.0,71.5403520000006,12000.0,0.0,11971.952128269491
2030-10-13 18:00:00,11271.951464100168,0.0,1635.9676333333332,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,24467.15268675131
2030-10-14 00:00:00,17651.555746913087,0.0,3435.232423333334,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,22683.358681356487
2030-10-14 06:00:00,11719.895136452173,0.0,2276.8723866666664,15321.89619330054,2202.72,30000.0,71.5403520000006,12000.0,0.0,43430.50346677306
2030-10-14 12:00:00,9365.196580720027,0.0,2095.9099600000004,11053.254350415515,2202.72,30000.0,71.5403520000006,12000.0,0.0,34248.22555618889
2030-10-14 18:00:00,13761.392517506274,0.0,4141.1403,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,24193.095308156226
2030-10-15 00:00:00,38443.219754606784,0.0,3839.9318900000003,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,3299.3516595327087
2030-10-15 06:00:00,30334.110849892393,0.0,4091.3595,17951.02777416492,2202.72,30000.0,71.5403520000006,12000.0,0.0,19987.423154700416
2030-10-15 12:00:00,19514.187549485297,0.0,7744.290736666668,16905.599840943043,2202.72,30000.0,71.5403520000006,12000.0,0.0,11860.551674115984
2030-10-15 18:00:00,17283.98540445313,0.0,13124.270033333332,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,11456.668806525873
2030-10-16 00:00:00,17573.564782044843,0.0,13424.648763333335,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,15575.133351743
2030-10-16 06:00:00,15448.70365636911,0.0,27567.21271666666,10083.373535530554,2202.72,30000.0,71.5403520000006,12000.0,0.0,20135.686409388538
2030-10-16 12:00:00,5475.033351313216,-7786.449035102221,49202.16734,15378.261972181308,2202.72,30000.0,71.5403520000006,12000.0,0.0,0.0
2030-10-16 18:00:00,5475.033351313216,-1154.541776385109,48821.67839666667,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,0.0
2030-10-17 00:00:00,5475.033351313216,0.0,29350.241130000002,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,11252.65061931756
2030-10-17 06:00:00,21899.071040438164,0.0,14189.406303333331,12381.699402609313,2202.72,30000.0,71.5403520000006,12000.0,0.0,23130.155147569294
2030-10-17 12:00:00,5475.033351313216,0.0,31928.379543333333,19370.49681932188,2202.72,30000.0,71.5403520000006,12000.0,0.0,1882.106604913708
2030-10-17 18:00:00,5475.033351313216,0.0,26327.981926666664,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,10379.649514987581
2030-10-18 00:00:00,6892.740393901259,0.0,38237.116460000005,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,1417.707042588041
2030-10-18 06:00:00,5475.033351313216,0.0,35218.57929333333,15059.308548835274,2202.72,30000.0,71.5403520000006,12000.0,0.0,14076.312157249398
2030-10-18 12:00:00,5475.033351313216,0.0,24323.820746666668,19653.843445947132,2202.72,30000.0,71.5403520000006,12000.0,0.0,4927.109654531669
2030-10-18 18:00:00,7724.417770845709,0.0,12231.188653333336,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,17533.11744179696
2030-10-19 00:00:00,12624.147594594748,0.0,4907.338256666667,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,24923.944650855974
2030-10-19 06:00:00,16405.646271148868,0.0,12707.20603,16655.044218364637,2202.72,30000.0,71.5403520000006,12000.0,0.0,15134.812611017343
2030-10-19 12:00:00,5475.033351313216,-553.7236084150034,29646.05662,19280.651065846392,2202.72,30000.0,71.5403520000006,12000.0,0.0,0.0
2030-10-19 18:00:00,5475.033351313216,-46.3380540506268,37308.91196,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,0.0
2030-10-20 00:00:00,5475.033351313216,0.0,22713.23901666667,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,9026.785196256773
2030-10-20 06:00:00,9157.516387600455,0.0,13574.993693333332,14270.91655537402,2202.72,30000.0,71.5403520000006,12000.0,0.0,17909.367889868252
2030-10-20 12:00:00,7710.561583766161,0.0,20333.659160000003,14790.24058718779,2202.72,30000.0,71.5403520000006,12000.0,0.0,2421.029598496105
2030-10-20 18:00:00,5475.033351313216,0.0,18700.399510000003,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,12652.456640176599
2030-10-21 00:00:00,9916.14334350581,0.0,17293.46965,0.0,2202.72,30000.0,71.5403520000006,12000.0,0.0,16111.696499184574
2030-10-21 06:00:00,10678.828009486804,0.0,11244.457143333331,14589.051202126924,2202.72,30000.0,71.5403520000006,12000.0,0.0,32056.58086195287
2030-10-21 12:00:00,14800.431944621967,0.0,12493.839990000002,17773.233432490706,2202.72,30000.0,71.5403520000006,12000.0,0.0,10157.849117811587
