Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Gas|CCGT|w/o CCS,MWh/yr,158427455.05903697
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Hydro|Reservoir,MWh,96118939.76277778
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Hydro|Run of River,MWh,86294837.00055555
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Nuclear,MWh/yr,482739965.7933464
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Solar|PV,MWh/yr,522510525.34034365
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Wind|Offshore,MWh/yr,268127931.7124242
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Wind|Onshore,MWh/yr,515510696.91874975
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Biomass|w/ CCS,EUR/MWh,41.36332040031596
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Biomass|w/o CCS,EUR/MWh,64.02184635651166
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Coal|Hard coal|w/ CCS,EUR/MWh,21.33967041944816
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MWh,13.05253920699918
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MWh,9.72193607895402
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Gas|CCGT|w/ CCS,EUR/MWh,40.48321540763101
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Gas|CCGT|w/o CCS,EUR/MWh,31.24058558037973
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Gas|OCGT|w/o CCS,EUR/MWh,44.00609786326235
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Geothermal,EUR/MWh,2.55000000204
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Hydrogen|OCGT,EUR/MWh,224.2926233766234
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Nuclear,EUR/MWh,12.41513513513513
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Oil|w/o CCS,EUR/MWh,78.91973908674551
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Wind|Offshore,EUR/MWh,0.036
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Variable Cost|Electricity|Wind|Onshore,EUR/MWh,0.036
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Bulgaria>Greece,Network|Electricity|Maximum Flow,MW,350.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Bulgaria>Non-EU-Balkans,Network|Electricity|Maximum Flow,MW,350.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Bulgaria>Romania,Network|Electricity|Maximum Flow,MW,150.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Bulgaria>Turkey,Network|Electricity|Maximum Flow,MW,1000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Croatia>Hungary,Network|Electricity|Maximum Flow,MW,1000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Croatia>Non-EU-Balkans,Network|Electricity|Maximum Flow,MW,1100.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Croatia>Slovenia,Network|Electricity|Maximum Flow,MW,1342.719662
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Czech Republic>Austria,Network|Electricity|Maximum Flow,MW,1039.231874
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Czech Republic>Germany,Network|Electricity|Maximum Flow,MW,2388.314826
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Czech Republic>Poland,Network|Electricity|Maximum Flow,MW,275.0103215
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Czech Republic>Slovakia,Network|Electricity|Maximum Flow,MW,1700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Denmark>Germany,Network|Electricity|Maximum Flow,MW,3100.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Denmark>Norway,Network|Electricity|Maximum Flow,MW,1700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Denmark>Sweden,Network|Electricity|Maximum Flow,MW,2440.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Denmark>The Netherlands,Network|Electricity|Maximum Flow,MW,700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Denmark>United Kingdom,Network|Electricity|Maximum Flow,MW,1400.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Estonia>Finland,Network|Electricity|Maximum Flow,MW,365.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Estonia>Latvia,Network|Electricity|Maximum Flow,MW,800.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Europe (incl. Turkey),Pumping Efficiency|Electricity|Hydro|Pumped Storage,%,0.866
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Europe (incl. Turkey),Roundtrip Efficiency|Electricity|Energy Storage System|Compressed Air,%,0.837
