Time,Hydro|Run of River,Nuclear,Coal|Hard coal|w/o CCS,Wind|Onshore|Avg,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Solar|PV|Rooftop|Commercial,Biomass|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Oil|w/o CCS,Hydro|Reservoir,Hydro|Pumped Storage,Battery|Lithium-Ion,SlackUnit,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion_PUMP
2030-07-21 06:00:00,4998.4,240000.0,10700.2,1134.5,60455.3,49786.7,27865.1,70611.7,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-10587.9,-76262.8
2030-07-21 12:00:00,4998.4,240000.0,10700.2,1366.7,64447.9,53074.7,29705.4,75275.1,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-35524.3,-38457.7
2030-07-21 18:00:00,4998.4,240000.0,10700.2,3796.5,1685.9,1388.4,777.1,1969.1,2814.8,0.0,0.0,23.7,36000.0,34582.1,8449.4,0.0,-0.0,-0.0
2030-07-22 00:00:00,4998.4,240000.0,10700.2,3635.0,621.4,511.7,286.4,725.8,2814.8,0.0,0.0,23.7,0.0,0.0,18158.7,0.0,-0.0,-0.0
2030-07-22 06:00:00,4998.4,240000.0,10700.2,2925.8,65252.4,53737.3,30076.2,76214.8,2814.8,0.0,0.0,23.7,17035.2,0.0,0.0,0.0,-0.0,-0.0
2030-07-22 12:00:00,4998.4,240000.0,10700.2,2882.0,69279.1,57053.4,31932.1,80917.9,2814.8,0.0,0.0,23.7,36000.0,0.0,12219.6,0.0,-0.0,-0.0
2030-07-22 18:00:00,4998.4,240000.0,10700.2,2852.6,1599.1,1316.9,737.1,1867.7,2814.8,45570.7,0.0,23.7,36000.0,0.0,64707.6,0.0,-0.0,-0.0
2030-07-23 00:00:00,4998.4,240000.0,10700.2,2379.1,730.7,601.8,336.8,853.5,2814.8,17141.4,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-23 06:00:00,4998.4,240000.0,10700.2,766.3,66610.2,54855.5,30702.0,77800.6,2814.8,883.1,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-23 12:00:00,4998.4,240000.0,10700.2,2084.7,68374.2,56308.1,31515.0,79860.9,2814.8,90000.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-53022.9
2030-07-23 18:00:00,4998.4,240000.0,10700.2,1594.8,1441.7,1187.3,664.5,1683.9,2814.8,90000.0,0.0,23.7,36000.0,0.0,36206.9,0.0,-0.0,-0.0
2030-07-24 00:00:00,4998.4,240000.0,10700.2,1323.5,678.8,559.0,312.9,792.8,2814.8,25367.7,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
