Timestep,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
86,426,-7297.1609701976412907,5196
87,426,-9796.8438172780151945,5196
88,426,-9755.4050418881743099,5196
89,426,588.28867794098914601,5196
90,426,-1944.655686949241499,5196
91,426,-12000,5196
92,426,-12000,5196
93,426,-2757.8741538135654991,5196
94,426,13200,5196
95,426,-12000,5196
96,426,13200,5196
97,426,13200,5196
98,426,-12000,5196
99,426,-12000,5196
100,426,13200,5196
101,426,13200,5196
102,426,13200,5196
103,426,11159.490970347593247,5196
104,426,13200,5196
105,426,13200,5196
106,426,13200,5196
107,426,5288.5252892145508667,5196
108,426,986.00253196938865585,5196
109,426,13200,5196
110,426,13200,5196
111,426,12724.466081227859831,5196
112,426,13200,5196
113,426,13200,5196
114,426,13200,5196
115,426,13200,5196
116,426,13200,5196
117,426,13200,5196
118,426,13200,5196
119,426,13200,5196
120,426,13200,5196
121,426,13200,5196
122,426,13200,5196
123,426,13200,5196
124,426,13200,5196
125,426,13200,5196
126,426,13200,5196
127,426,13200,5196
128,426,13200,5196
129,426,13200,5196
130,426,13200,5196
131,426,13200,5196
132,426,13200,5196
133,426,13200,5196
134,426,13200,5196
135,426,13200,5196
136,426,13200,5196
137,426,13200,5196
138,426,13200,5196
139,426,13200,5196
140,426,13200,5196
141,426,13200,5196
142,426,13200,5196
143,426,-12000,5196
144,426,13200,5196
145,426,13200,5196
146,426,-5608.1455118829617277,5196
147,426,-12000,5196
148,426,-12000,5196
149,426,-12000,5196
150,426,-12000,5196
151,426,-12000,5196
152,426,-12000,5196
153,426,13200,5196
154,426,13200,5196
155,426,12048.030900634988939,5196
156,426,-7166.3655805321031949,5196
157,426,13200,5196
158,426,13200,5196
159,426,13200,5196
160,426,13200,5196
161,426,13200,5196
162,426,13200,5196
163,426,13200,5196
164,426,13200,5196
165,426,13200,5196
166,426,13200,5196
167,426,13200,5196
168,426,13200,5196
169,426,13200,5196
170,426,13200,5196
171,426,13200,5196
172,426,13200,5196
173,426,13200,5196
174,426,13200,5196
175,426,13200,5196
176,426,13200,5196
177,426,13200,5196
178,426,13200,5196
179,426,13200,5196
180,426,13200,5196
181,426,13200,5196
182,-600,13200,5196
183,426,13200,5196
184,426,13200,5196
185,426,13200,5196
186,426,13200,5196
187,426,13200,5196
188,-600,13200,5196
189,426,13200,5196
190,426,13200,5196
191,426,13200,5196
192,426,13200,5196
193,426,13200,5196
194,426,13200,5196
195,426,13200,5196
196,426,13200,5196
197,426,13200,5196
198,426,13200,5196
199,426,13200,5196
200,426,13200,5196
201,426,13200,5196
202,426,13200,5196
203,426,13200,5196
204,426,13200,5196
205,426,13200,5196
206,426,13200,5196
207,426,13200,5196
208,426,13200,5196
209,426,13200,5196
210,426,13200,5196
211,426,13200,5196
212,426,13200,5196
213,426,13200,5196
214,426,13200,5196
215,426,13200,5196
216,426,13200,5196
217,426,13200,5196
218,426,13200,5196
219,426,13200,5196
