Timestep,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
98,73.517915973828550591,5.0000000004000018095,78.517915974228543519
99,73.517915973828550591,4.6759002775379521211,78.193816251366499159
100,73.517915973828550591,5.0000000004000018095,78.517915974228543519
101,65.569919166458277004,5.0000000004000018095,70.569919166858284143
102,65.569919166458277004,5.0000000004000018095,70.569919166858284143
103,78.517915974228543519,-0,78.517915974228543519
104,61.102360191468619632,-6.9388939039072283776e-18,61.102360191468619632
105,61.102360191468619632,-6.9388939039072283776e-18,61.102360191468619632
106,61.102360191468612527,-0,61.102360191468612527
107,81.481915973028563371,-0,81.481915973028563371
108,81.481915973028549161,-0,81.481915973028549161
109,81.481915973028563371,-6.9388939039072283776e-18,81.481915973028563371
110,81.481915973028549161,-6.9388939039072283776e-18,81.481915973028549161
111,81.481915973028549161,-0,81.481915973028549161
