Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_Harad_0,Hydro|Reservoir_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0
18,36057208.399765305221,5923962.3141782348976,6979723.0755134522915,0,8470.7596506464251433,0,186513.77229815459577,148984.47706948628183,0
19,36143443.929577514529,5919960.3307139314711,6998177.5882797157392,0,8470.7596506464251433,0,186513.77229815459577,93085.87501029825944,0
20,36229679.459389723837,5915958.3472496280447,7016632.1010459791869,0,31414.268187019370089,0,130005.78907277816324,93085.87501029825944,0
21,36315914.989201933146,5911956.3637853246182,7035086.6138122426346,0,62178.329307019368571,0,255114.63338802009821,108847.45518420143344,10560.446889130376803
22,36402150.519014142454,5907954.3803210211918,7053541.1265785060823,0,89633.292808119906113,0,370442.98268162476597,148984.47706948628183,24171.276663549739169
23,36488386.048826351762,5903952.3968567177653,7071995.63934476953,0,71299.860834850434912,0,240355.68750004592584,126821.96841683954699,24171.276663549739169
24,36574621.57863856107,5899950.4133924143389,7090450.1521110329777,0,71299.860834850434912,0,3423.8566181025526021,148984.47706948628183,2079.0420204926754195
25,36660857.108450770378,5895948.4299281109124,7108904.6648772964254,0,41021.154734411080426,0,10222.768486963974283,146528.22646768225241,0
26,36747092.638262979686,5891946.446463807486,7127359.1776435598731,0,41021.154734411080426,0,89378.54270261550846,64587.897459213512775,1047.2626308056496782
27,36833328.168075188994,5887944.4629995040596,7145813.6904098233208,0,0,0,0,0,0
28,36933159.756590209901,5888987.3480730298907,7167177.7769845640287,0,0,0,0,0,0
29,37032991.345105230808,5890030.2331465557218,7188541.8635593047366,0,0,0,0,0,0
30,37132822.933620251715,5891073.1182200815529,7209905.9501340454444,0,0,0,1948.1618514028143636,0,0
31,37232654.522135272622,5892116.003293607384,7231270.0367087861523,0,0,0,0,0,0
32,37332486.110650293529,5893158.8883671332151,7252634.1232835268602,0,0,0,0,0,0
33,37432317.699165314436,5894201.7734406590462,7273998.2098582675681,0,0,0,111119.93186138829333,0,0
34,37532149.287680335343,5895244.6585141848773,7295362.2964330082759,0,0,0,230631.5326907694689,0,0
35,37631980.87619535625,5896287.5435877107084,7316726.3830077489838,0,0,0,219680.07294586638454,0,0
36,37731812.464710377157,5897330.4286612365395,7338090.4695824896917,0,0,0,219680.07294586638454,0,0
37,37831644.053225398064,5898373.3137347623706,7359454.5561572303995,0,0,0,385109.81557474564761,0,0
38,37931475.641740418971,5899416.1988082882017,7380818.6427319711074,0,0,0,524572.91248053347226,0,10022.501322794612861
39,38031307.230255439878,5900459.0838818140328,7402182.7293067118153,0,0,0,524572.91248053347226,0,10022.501322794612861
40,38131138.818770460784,5901501.9689553398639,7423546.8158814525232,0,0,0,524572.91248053347226,0,10022.501322794612861
41,38230970.407285481691,5902544.854028865695,7444910.902456193231,0,0,0,524572.91248053347226,0,12313.55999255304414
42,38330801.995800502598,5903587.7391023915261,7466274.9890309339389,0,0,0,611101.86423936928622,0,23358.35173329259851
43,38430633.584315523505,5904630.6241759173572,7487639.0756056746468,0,0,0,513986.40945777681191,0,12023.450338941041991
44,38530465.172830544412,5905673.5092494431883,7509003.1621804153547,0,0,0,491184.70588187186513,0,6775.4676389348269367
45,38630296.761345565319,5906716.3943229690194,7530367.2487551560625,0,0,0,491184.70588187186513,24650.614347053662641,6775.4676389348269367
46,38730128.349860586226,5907759.2793964948505,7551731.3353298967704,0,0,0,471546.21750732616056,68252.007914857094875,6775.4676389348269367
47,38829959.938375607133,5908802.1644700206816,7573095.4219046374783,0,0,0,418579.70368715550285,0,4608.8015846301823331
48,38929791.52689062804,5909845.0495435465127,7594459.5084793781862,0,0,0,428465.07237390917726,0,11069.874216803835225
49,39029623.115405648947,5910887.9346170723438,7615823.595054118894,0,0,0,543875.95564351323992,24014.235092681963579,20779.069571941356116
50,39129454.703920669854,5911930.8196905981749,7637187.6816288596019,0,0,0,611101.86423936928622,138932.27718729144544,36939.523702561898972
51,39229286.292435690761,5912973.704764124006,7658551.7682036003098,0,0,0,602584.44072635273915,97273.639854143824778,18061.260916812199866
52,39329117.880950711668,5914016.5898376498371,7679915.8547783410177,0,0,0,462615.07897937501548,97273.639854143824778,9281.4516458088346553
53,39428949.469465732574,5915059.4749111756682,7701279.9413530817255,0,0,0,414810.01100919442251,97273.639854143824778,0
54,39528781.057980753481,5916102.3599847014993,7722644.0279278224334,0,0,0,265528.65655761020025,108676.86763780696492,0
55,39628612.646495774388,5917145.2450582273304,7744008.1145025631413,0,0,0,0,0,0
56,39741392.414607264102,5922992.6006990149617,7768143.1279352158308,0,0,0,0,0,0
57,39854172.182718753815,5928839.956339802593,7792278.1413678685203,0,0,0,0,7725.7243604596715159,0
58,39966951.950830243528,5934687.3119805902243,7816413.1548005212098,0,0,0,90270.948392198100919,0,0
59,40079731.718941733241,5940534.6676213778555,7840548.1682331738994,0,0,0,38583.419477504517999,0,0
60,40192511.487053222954,5946382.0232621654868,7864683.1816658265889,0,0,0,0,0,0
61,40305291.255164712667,5952229.3789029531181,7888818.1950984792784,0,0,0,5239.6522658383173621,0,0
62,40418071.023276202381,5958076.7345437407494,7912953.2085311319679,0,0,0,81858.111278084877995,0,0
63,40530850.791387692094,5963924.0901845283806,7937088.2219637846574,0,0,0,36783.653578154771822,0,0
64,40643630.559499181807,5969771.4458253160119,7961223.2353964373469,0,0,0,0,0,0
65,40756410.32761067152,5975618.8014661036432,7985358.2488290900365,0,0,0,10870.645538964425214,0,0
66,40869190.095722161233,5981466.1571068912745,8009493.262261742726,0,0,0,74571.456608373540803,0,0
67,40981969.863833650947,5987313.5127476789057,8033628.2756943954155,0,0,0,74571.456608373540803,0,0
68,41094749.63194514066,5993160.868388466537,8057763.289127048105,0,0,0,109101.80291329714237,0,0
69,41207529.400056630373,5999008.2240292541683,8081898.3025597007945,0,0,0,273301.53791228862246,0,0
70,41320309.168168120086,6004855.5796700417995,8106033.315992353484,0,0,0,428989.30095644964604,0,0
