Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_DolAmroth_0,Hydro|Reservoir_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0
14,36064881.312167055905,6852998.6468567149714,6070809.3770818971097,0,0,0,51501.801765637057542,0,4048.612212818306034
15,36174624.510755971074,6876483.83055976592,6075530.0022206902504,0,0,0,4759.9357344737654785,0,0
16,36284367.709344886243,6899969.0142628168687,6084093.3560186168179,0,0,0,4759.9357344737654785,0,0
17,36394110.907933801413,6923454.1979658678174,6124813.9811574108899,0,0,0,67784.706650649750372,0,18174.717642738931318
18,36503854.106522716582,6946939.3816689187661,6165534.6062962040305,0,0,0,94661.26923311331484,0,40683.990159110442619
19,36613597.305111631751,6970424.5653719697148,6170255.2314349971712,0,0,0,93020.903486887837062,0,0
20,36723340.50370054692,6993909.7490750206634,6201208.6606174418703,0,0,0,93020.903486887837062,0,0
21,36833083.70228946209,7017394.9327780716121,6241929.2857562359422,0,0,0,171798.58420897799078,8007.3846463193112868,37100.664698924127151
22,36942826.900878377259,7040880.1164811225608,6282649.9108950290829,0,0,0,249392.28214973921422,8007.3846463193112868,54797.208502591223805
23,37052570.099467292428,7064365.3001841735095,6287370.5360338222235,0,0,0,150566.07260133652017,8007.3846463193112868,15323.745492779118649
24,37162313.298056207597,7087850.4838872244582,6315169.0250228662044,0,0,0,27600.696403731468308,8007.3846463193112868,15323.745492779118649
25,37272056.496645122766,7111335.6675902754068,6319889.650161659345,0,0,0,27600.696403731468308,3081.3057778729453275,15323.745492779118649
26,37381799.695234037936,7134820.8512933263555,6324610.2753004524857,0,0,0,57418.498865593828668,2909.2003511824241286,7751.851118379707259
27,37491542.893822953105,7158306.0349963773042,6329330.9004392456263,0,0,0,0,0,0
28,37577268.448305435479,7151038.2427460011095,6325139.688717530109,0,0,0,0,0,75477.736111784834065
29,37662994.002787917852,7154404.2637935234234,6320948.4769958145916,0,0,0,0,0,108984.47709958089399
30,37748719.557270400226,7159674.0757543798536,6316757.2652740990743,0,0,0,0,0,108605.92011043294042
31,37834445.1117528826,7163971.6176286777481,6312566.053552383557,0,0,0,0,0,82004.743538857801468
32,37920170.666235364974,7171003.0895051257685,6308374.8418306680396,0,0,0,0,0,82004.743538857801468
33,38005896.220717847347,7168268.0003859885037,6304183.6301089525223,0,0,0,68203.841138603558647,0,82004.743538857801468
34,38091621.775200329721,7176652.0253077633679,6299992.4183872370049,0,0,0,143888.99252753792098,0,70426.303093735434231
35,38177347.329682812095,7186408.7993548475206,6295801.2066655214876,0,0,0,143888.99252753792098,0,42088.039306759645115
36,38263072.884165294468,7202571.6047241548076,6291609.9949438059703,0,0,0,143888.99252753792098,0,42088.039306759645115
37,38348798.438647776842,7213843.0406326102093,6287418.7832220904529,0,0,0,268389.77510021638591,0,42088.039306759645115
38,38434523.993130259216,7232188.4180314280093,6283227.5715003749356,0,21.800761398253989398,0,365143.41509219666477,7527.685929182433938,35037.362341398693388
39,38520249.54761274159,7250533.7954302458093,6279036.3597786594182,0,21.800761398253989398,0,365143.41509219666477,7527.685929182433938,5739.1476969208015362
40,38605975.102095223963,7268879.1728290636092,6274845.1480569439009,0,21.800761398253989398,0,365143.41509219666477,7527.685929182433938,20074.963423263434379
41,38691700.656577706337,7287224.5502278814092,6270653.9363352283835,0,21.800761398253989398,0,365143.41509219666477,7527.685929182433938,20074.963423263434379
42,38777426.211060188711,7305569.9276266992092,6266462.7246135128662,0,21.800761398253989398,0,410651.8312244892586,15661.396375192149208,20074.963423263434379
43,38863151.765542671084,7323915.3050255170092,6262271.5128917973489,0,21.800761398253989398,0,410651.8312244892586,5609.5245992867348832,0
44,38948877.320025153458,7342260.6824243348092,6258080.3011700818315,0,21.800761398253989398,0,410651.8312244892586,2609.3795661804706469,0
45,39034602.874507635832,7360606.0598231526092,6289889.0894483663142,0,21.800761398253989398,0,410651.8312244892586,0,9247.247040099795413
46,39120328.428990118206,7378951.4372219704092,6309314.1174210133031,0,21.800761398253989398,0,410651.8312244892586,2253.7060831526309812,9247.247040099795413
47,39206053.983472600579,7397296.8146207882091,6305122.9056992977858,0,21.800761398253989398,0,410651.8312244892586,0,0
48,39291779.537955082953,7415642.1920196060091,6325597.2317008692771,0,5853.0077839979439887,0,419602.73217708739685,0,0
49,39377505.092437565327,7433987.5694184238091,6357406.0199791537598,0,5853.0077839979439887,19793.456655993442837,495576.23245319753187,6986.3747633614084407,51453.837376629700884
