Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_Harad_0,Biomass|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_Harad_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_Harad_0,Nuclear_DolAmroth_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_Harad_0,Solar|PV|Utility|Opt_DolAmroth_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_Harad_0,Hydro|Run of River_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
10,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,10150.532386335849878,0,19644.224958481379872,0,0,0,0,240000,12577.825733084948297,51914.257641406147741,23.69761826676840144,103154.97928494818916,66549.048001993287471,77280.68852128436265,56976.978206708015932,8171.0376749999986714,65923.697323479223996,46922.217346700723283,4091.5913682561990754,164453.83292415516917,26261.848923964556889,7945.0410915450211178,15253.727227418783514,2692.6293972295334243,640.73920000000009622,74093.967222413324635,3973.9179133333332175,52197.278257216101338,29456.006362728545355,51071.715583764591429,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,0,0,2493.529834171721177,0,0,0
11,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,34346.912728248636995,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,2451.3154334036898945,2272.6018948032779008,3655.5757843427595617,1945.722628952578134,251.15332499999999527,3822.4898607961499692,1602.3598120785904939,125.76331398188590072,9003.5227510100285144,896.82316152519047137,244.2068641426453155,35188.33688531426742,4906.8729878923313663,2995.1904000000004089,60728.741717086581048,18576.420460000001185,52396.801893300922529,66058.989114027310279,43628.035312415100634,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,59611.223022643083823,0,0,0,0,0
12,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,587.61455804721845197,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,5776.4740894375909193,1031.2924518205215918,1671.7939005111470578,882.95669609519211463,211.57222500000000309,777.79063329374855584,727.14080854898440975,105.94334820182534429,2712.7769363218449143,406.972712296717134,205.72050800813485694,17583.273591036198923,5456.604323176186881,3688.7680000000000291,53578.709428478381597,22878.04653333333772,45840.649130141420756,50432.696332431827614,25694.898677259756369,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,30535.390675630860642,0,0,0,0,0
13,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,919.69189559487494989,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,107615.5169978136546,72631.822908181115054,71626.118818601331441,62184.838329001475358,8918.7065999999995256,56355.704936233341869,51211.043329765911039,4465.9814814242172361,143231.21345620884676,28662.257651374191482,8672.0308042679280334,4747.6694505163241047,4298.8885379772091255,3578.7471999999997934,38713.581759292275819,22195.688363333334564,61869.799257105689321,61261.826736346432881,20101.254666620654461,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-10645.303897349702311,0,0,0,0,0
14,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,5723.2582563863579708,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,82847.780450773687335,79247.071221333389985,74191.199189666149323,67848.583645976555999,8418.434849999999642,66433.797135371016338,55875.304179039514565,4215.4738157521915127,162197.6461548875086,31272.793143772414624,8185.5956942145221547,6662.5533523358690218,7442.5309677200593796,4016.0368000000003121,42363.195482200215338,24907.794903333335242,68698.24195512701408,85300.804909415179281,15761.035533083537302,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-8291.9855690378026338,0,0,0,0,0
15,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,35192.318100850803603,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,2204.3146775880309178,2384.209284915445096,3811.0359270497151556,2041.2769911117188713,260.56664999999946986,3915.0247738030066103,1681.0516397390592829,130.4769722525397242,9136.7190942938650551,940.86611188919721371,253.35983306872091703,37161.181987866802956,8023.0050919533550768,4369.6783999999997832,78048.744968806422548,27101.109576666669454,60384.303946073901898,90871.969853147136746,6570.8734448666373282,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,44404.772729638556484,0,0,0,0,0
16,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,27961.390869933893555,0,0,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,5825.0537865673113629,972.36145457363829792,1920.2806897603861671,832.50202774689853413,227.04052499999997394,923.67225931608129486,685.58990520332815777,113.68899389322064053,3016.3438075156013838,383.71712873690478318,220.7609819362326391,58396.278598434146261,6554.2225514538640709,3956.9039999999999964,76389.769121144941892,24541.048350000000937,53574.805489640428277,80580.273875920029241,3471.9342570927324232,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,0,-3842.7286591666861568,0,0,0,0
17,0,0,36000,0,0,0,0,2814.8496863584377934,0,0,10700.231703475554241,71.540352000000595467,0,0,0,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,120779.818886257548,69518.98090365419921,81988.375190582562936,59519.731368379842024,8717.7334499999979016,62807.048731184237113,49016.24936219517258,4365.3455477156803681,159207.93718462646939,27433.855609550722875,8476.6162194187345449,59021.088139718987804,7801.0717918619620832,3922.4655999999999949,49420.648553345323307,24327.458523333330959,64024.24403881301987,79320.894641751292511,2831.7719988231069692,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-66413.404474257142283,-55131.281729232163343,0,0,0,0
18,0,0,36000,0,0,0,0,2814.8496863584377934,0,0,10700.231703475554241,71.540352000000595467,0,0,0,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,102755.04381738294614,75473.765946785380947,88329.50685121906281,64618.011025482584955,7928.2725749999990512,74830.853738749370677,53214.8326092209536,3970.0284007137861408,183410.16495435871184,29783.756470231863204,7708.9904487981029888,51357.395674570623669,8796.8205346091835963,3815.8240000000000691,63638.436531916777312,23666.058433333335415,57105.714621131250169,76553.422901682657539,3212.3229099938830586,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-28362.658859823015518,-59693.971069898012502,0,0,0,0
19,0,0,36000,0,0,0,0,2814.8496863584377934,0,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,0,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,2525.0774368315182983,2132.9348575112358049,4225.9299383551460778,1826.1445736850434969,269.24174999999996771,4247.5468320599457002,1503.883766564149937,134.82096939103772115,9916.1770893343600619,841.70720204653082419,261.79499500465732353,18512.26765849315052,6857.4488639350574886,3235.1040000000002692,89430.951379325182643,20064.384600000001228,53339.070185232871154,85499.876869222149253,4327.2831407622816187,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,1558.3474589474935783,53804.190889540514036,0,0,0,0
