Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2018,75.04939346619481
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2025,64.78059783467776
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2030,41.72697003291994
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2035,31.35301641658206
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2040,23.057824132956934
Final Energy Demand [TWh],Industry,DolAmroth,Hardcoal,2045,0.23937614322890305
Final Energy Demand [TWh],Industry,DolAmroth,H2,2035,1.8592864529805553
Final Energy Demand [TWh],Industry,DolAmroth,H2,2040,7.737140827477598
Final Energy Demand [TWh],Industry,DolAmroth,H2,2045,4.468133555062814
Final Energy Demand [TWh],Industry,DolAmroth,H2,2050,10.58442566627607
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2018,101.0938425498691
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2025,61.97487923707213
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2030,59.90426238676924
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2035,49.60113889400173
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2040,40.00298779236909
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2045,25.29944124953954
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Natural,2050,5.261132976112848
Final Energy Demand [TWh],Industry,DolAmroth,Oil,2018,0.004216997565281456
Final Energy Demand [TWh],Industry,DolAmroth,Oil,2025,0.012308723541722185
Final Energy Demand [TWh],Industry,DolAmroth,Oil,2030,0.036602537000451595
Final Energy Demand [TWh],Industry,DolAmroth,Oil,2035,0.08837403422039862
Final Energy Demand [TWh],Industry,DolAmroth,Power,2018,1.7376788668800685
Final Energy Demand [TWh],Industry,DolAmroth,Power,2025,24.38566065702731
Final Energy Demand [TWh],Industry,DolAmroth,Power,2030,29.740742184993568
Final Energy Demand [TWh],Industry,DolAmroth,Power,2035,36.72577504821374
Final Energy Demand [TWh],Industry,DolAmroth,Power,2040,40.05024479583469
Final Energy Demand [TWh],Industry,DolAmroth,Power,2045,54.33197078037647
Final Energy Demand [TWh],Industry,DolAmroth,Power,2050,54.06573416221557
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Synth,2045,0.3221297226670902
Final Energy Demand [TWh],Industry,DolAmroth,Gas_Synth,2050,9.639381360302002
Final Energy Demand [TWh],Industry,Gondor,Biomass,2018,6.683959414891457
Final Energy Demand [TWh],Industry,Gondor,Biomass,2025,108.36692195130087
Final Energy Demand [TWh],Industry,Gondor,Biomass,2030,113.29774735566671
Final Energy Demand [TWh],Industry,Gondor,Biomass,2035,116.25580472260452
Final Energy Demand [TWh],Industry,Gondor,Biomass,2040,76.64538564715389
Final Energy Demand [TWh],Industry,Gondor,Biomass,2045,120.9444167993064
Final Energy Demand [TWh],Industry,Gondor,Biomass,2050,113.29786914016715
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2018,517.3262162051553
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2025,566.5214986702388
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2030,723.2322380194843
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2035,604.0415884845444
