Region,Sector,Technology,Mode_of_operation,Fuel,Timeslice,Type,Unit,PathwayScenario,Year,Value
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2018,7.837019734246122
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2025,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2030,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2045,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2018,5.791554225686128
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2025,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2030,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2035,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2040,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2045,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2050,10.436290842156728
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2018,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2025,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2030,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2035,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2040,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2045,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2050,8.975965342603228
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2018,7.134132515900863
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2025,8.962169547386551
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2030,8.962169547386551
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2035,8.962169547386551
