Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.013408436209317476
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.0011234081513909798
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2025,0.00327904395151479
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2030,0.009750915856920306
DolAmroth,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2035,0.023542842716314197
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2018,15.095419309193199
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2025,7.00658919149493
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2030,5.37929585330885
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2035,4.449920438464136
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2040,4.343310826984787
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2045,3.1670266120517376
DolAmroth,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2050,1.056856392241549
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2018,0.559558307768896
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2025,1.6056478491364015
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2030,4.68497125589042
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2035,6.267684721257127
DolAmroth,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2040,6.137476458452727
