Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2025,103.56922335214199
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2030,275.1791196443494
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2035,389.1238617538142
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2040,396.6275748300424
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2045,156.52108371310842
Mordor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2050,142.49555635370697
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2018,53.599090176
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2025,33.078295651474285
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2030,22.05219710098286
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2035,17.64175768078629
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2040,11.290724915703226
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2045,19.758768602480643
Mordor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2050,13.548869898843872
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2018,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2025,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2030,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2035,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2040,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2045,27.122306587200004
Mordor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2050,27.122306587200004
