Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_DolAmroth_0,Biomass|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|CCGT|w/o CCS_Harad_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_DolAmroth_0,Nuclear_Harad_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_DolAmroth_0,Solar|PV|Utility|Opt_Harad_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_DolAmroth_0,Hydro|Run of River_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
10,0,0,12826.058885600232315,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,63180.350766645860858,71.540352000000595467,10700.231703475554241,0,0,0,30527.92294709559792,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,114616.64364994240168,73943.386668881430523,85867.431690315963351,9078.9307499999995343,63307.753563008904166,73248.552581643583835,4546.2126313957760431,52135.79705188969092,182726.48102683908655,8827.8234350500242726,29179.83213773839816,15253.727227418783514,640.73920000000009622,2692.6293972295334243,74093.967222413324635,3973.9179133333332175,52197.278257216101338,29456.006362728545355,51071.715583764591429,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
11,0,0,0,0,36000,0,0,0,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,90000,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2723.6838148929905401,2525.1132164480827669,4061.7508714919517843,279.05924999999950842,2161.9140321695281273,4247.2109564401662283,139.73701553542875331,1780.3997911984313305,10003.91416778891471,271.340960158494795,996.47017947243375602,35188.33688531426742,2995.1904000000004089,4906.8729878923313663,60728.741717086581048,18576.420460000001185,52396.801893300922529,66058.989114027310279,43628.035312415100634,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,57438.553318978927564,0,845.37755331252174074,0,0,0
12,0,0,0,0,36000,0,0,0,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,1228.2651916280510704,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,6418.3045438195476891,1145.880502022802375,1857.5487783457181195,235.08025000000000659,981.06299566132497603,864.21181477083621303,117.71483133536149523,807.93423172109373809,3014.1965959131625823,228.5783422312609332,452.19190255190801508,17583.273591036198923,3688.7680000000000291,5456.604323176186881,53578.709428478381597,22878.04653333333772,45840.649130141420756,50432.696332431827614,25694.898677259756369,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,29261.827159955955722,0,0,0,0,0
13,0,0,0,0,14598.071475136101071,0,0,0,2814.8496863584377934,75597.862165028578602,0,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,119572.79666423740855,80702.025453534573899,79584.576465112579172,9909.6740000000008877,69094.26481000163767,62617.449929148155206,4962.2016460269087474,56901.159255295460753,159145.79272912093438,9635.5897825199208455,31846.952945971326699,4747.6694505163241047,3578.7471999999997934,4298.8885379772091255,38713.581759292275819,22195.688363333334564,61869.799257105689321,61261.826736346432881,20101.254666620654461,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
14,0,0,0,0,25234.93844036313385,0,0,0,2814.8496863584377934,77256.900786216603592,71.540352000000595467,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,92053.089389748536632,88052.30135703709675,82434.665766295715002,9353.8164999999989959,75387.315162196158781,73815.330150412235525,4683.8597952802119835,62083.67131004390103,180219.60683876389521,9095.1063269050264353,34747.547937524905137,6662.5533523358690218,4016.0368000000003121,7442.5309677200593796,42363.195482200215338,24907.794903333335242,68698.24195512701408,85300.804909415179281,15761.035533083537302,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
15,0,0,0,0,36000,0,0,0,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,90000,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2449.2385306533728908,2649.1214276838277328,4234.4843633885784584,289.51849999999996044,2268.0855456796875842,4350.027526447778655,144.97441361393305215,1867.8351552656185959,10151.910104770968246,281.51092563191213003,1045.4067909879970557,37161.181987866802956,4369.6783999999997832,8023.0050919533550768,78048.744968806422548,27101.109576666669454,60384.303946073901898,90871.969853147136746,6570.8734448666373282,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,42214.606293154531159,0,3063.1367102156800684,0,0,0
16,0,0,0,0,31837.919061282074836,0,0,0,2814.8496863584377934,94005.610884812122094,71.540352000000595467,10700.231703475554241,31270.749144295132282,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,6472.2819850747882811,1080.4016161929314421,2133.6452108448702347,252.26724999999999,925.00225305210938131,1026.3025103512004534,126.32110432580078907,761.76656133703124851,3351.4931194617806796,245.28997992914784732,426.35236526322756845,58396.278598434146261,3956.9039999999999964,6554.2225514538640709,76389.769121144941892,24541.048350000000937,53574.805489640428277,80580.273875920029241,3471.9342570927324232,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,2814.8496863584377934,0,0,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,134199.79876250834786,77243.312115171327605,91098.19465620284609,9686.3704999999990832,66133.034853755380027,69785.609701315814164,4850.3839419063106106,54462.499291327963874,176897.70798291830579,9418.4624660208155547,30482.061788389688445,59021.088139718987804,3922.4655999999999949,7801.0717918619620832,49420.648553345323307,24327.458523333330959,64024.24403881301987,79320.894641751292511,2831.7719988231069692,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-103062.66602909215726,-12872.850894285649701,-41963.372534063288185,0,0,0
18,0,0,0,0,0,0,0,0,2814.8496863584377934,0,0,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,114172.27090820328158,83859.739940872634179,98143.896501354523934,8809.1917499999981374,71797.790028313975199,83145.393043054849841,4411.1426674597614692,59127.591788023273693,203789.07217150967335,8565.5449431090019061,33093.062744702066993,51357.395674570623669,3815.8240000000000691,8796.8205346091835963,63638.436531916777312,23666.058433333335415,57105.714621131250169,76553.422901682657539,3212.3229099938830586,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-80394.769706325372681,0,-48481.789520055921457,0,0,0
19,0,0,0,0,34328.011107410100522,0,0,0,2814.8496863584377934,98675.729275205449085,0,10700.231703475554241,31270.749144295128644,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2805.6415964794755382,2369.9276194569251857,4695.4777092834965515,299.15749999999951569,2029.0495263167122175,4719.4964800666057272,149.80107710115305508,1670.9819628490593004,11017.97454370486048,290.88332778295256276,935.23022449614518337,18512.26765849315052,3235.1040000000002692,6857.4488639350574886,89430.951379325182643,20064.384600000001228,53339.070185232871154,85499.876869222149253,4327.2831407622816187,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,54775.660848851824994,0,0,0
